Origem;Nome;Código IF / CETIP;ISIN;Status;Taxa / Remuneração;Emissão;Série;Data Emissão;Data Vencimento;Volume (R$);Devedor / Cedente;Lastro;Agente Fiduciário;Tipo / Oferta
"HabitaSec";"Abecker Florescer";"26E2786908";"BRHBSCCRIEG4";"Ativo";"IPCA + 14% a.a.";"980";"";"";"";"";"Abecker Florescer";"";"";"CRI"
"HabitaSec";"Abecker Florescer";"26K0010401";"BRHBSCCRIEH2";"Ativo";"IPCA";"981";"";"";"";"";"Abecker Florescer";"";"";"CRI"
"HabitaSec";"Abecker Florescer";"27I0000801";"BRHBSCCRIEI0";"Ativo";"IPCA";"982";"";"";"";"";"Abecker Florescer";"";"";"CRI"
"HabitaSec";"Ditolvo III";"19D0671987";"BRHBSCCRI379";"Ativo";"CDI";"954";"";"";"";"";"Ditolvo III";"";"";"CRI"
"HabitaSec";"Praias II";"19H0293120";"BRHBSCCRI3P4";"Ativo";"CDI";"955";"";"";"";"";"Praias II";"";"";"CRI"
"HabitaSec";"CHB";"19D0515876";"BRHBSCCRI338";"Ativo";"CDI";"953";"";"";"";"";"CHB";"";"";"CRI"
"HabitaSec";"Tatinha";"26C4273912";"BRHBSCCRIE72";"Ativo";"IPCA + 12% a.a.";"875";"";"";"";"";"Tatinha";"";"";"CRI"
"HabitaSec";"Setin II";"19E0281174";"BRHBSCCRI3B4";"Ativo";"CDI + 4% a.a.";"451";"";"";"";"";"Setin II";"";"";"CRI"
"HabitaSec";"Scopel Capitânia";"11L0005889";"BRHBSCCRI031";"Ativo";"IPCA + 11.052% a.a.";"217";"";"";"";"";"Scopel Capitânia";"";"";"CRI"
"HabitaSec";"Scopel Capitânia";"11L0005713";"BRHBSCCRI023";"Ativo";"IPCA + 15% a.a.";"216";"";"";"";"";"Scopel Capitânia";"";"";"CRI"
"HabitaSec";"Scopel Capitânia";"11L0004764";"BRHBSCCRI015";"Ativo";"IPCA + 9% a.a.";"215";"";"";"";"";"Scopel Capitânia";"";"";"CRI"
"HabitaSec";"Aloes";"12E0031990";"&#8212;";"Ativo";"IPCA + 12.041365% a.a.";"218";"";"";"";"";"Aloes";"";"";"CRI"
"HabitaSec";"Scopel III";"12J0018024";"BRHBSCCRI0C8";"Ativo";"IPCA";"974";"";"";"";"";"Scopel III";"";"";"CRI"
"HabitaSec";"Scopel III";"12J0017781";"BRHBSCCRI0B0";"Ativo";"IPCA";"943";"";"";"";"";"Scopel III";"";"";"CRI"
"HabitaSec";"Scopel III";"12J0017777";"BRHBSCCRI0A2";"Ativo";"IPCA";"942";"";"";"";"";"Scopel III";"";"";"CRI"
"HabitaSec";"Reserva Real";"13F0037678";"BRHBSCCRI0N5";"Ativo";"IGP-M + 7.5% a.a.";"554";"";"";"";"";"Reserva Real";"";"";"CRI"
"HabitaSec";"Reserva Real";"13F0034990";"BRHBSCCRI0M7";"Ativo";"IGP-M + 7.5% a.a.";"553";"";"";"";"";"Reserva Real";"";"";"CRI"
"HabitaSec";"Green Club";"13H0051110";"BRHBSCCRI0P0";"Ativo";"IGP-M";"947";"";"";"";"";"Green Club";"";"";"CRI"
"HabitaSec";"Green Club";"13H0051104";"BRHBSCCRI0O3";"Ativo";"IGP-M";"946";"";"";"";"";"Green Club";"";"";"CRI"
"HabitaSec";"Mamoré";"16F0242080";"BRHBSCCRI1H5";"Ativo";"IGP-M";"952";"";"";"";"";"Mamoré";"";"";"CRI"
"HabitaSec";"Helbor V";"19A0625067";"BRHBSCCRI312";"Ativo";"CDI";"949";"";"";"";"";"Helbor V";"";"";"CRI"
"HabitaSec";"Trisul II";"19C0337001";"BRHBSCCRI346";"Ativo";"CDI";"950";"";"";"";"";"Trisul II";"";"";"CRI"
"HabitaSec";"Partage II";"19G0311661";"BRHBSCCRI3F5";"Ativo";"CDI + 1.8% a.a.";"435";"";"";"";"";"Partage II";"";"";"CRI"
"HabitaSec";"Setin III";"19I0307144";"BRHBSCCRI3Q2";"Ativo";"CDI + 4.25% a.a.";"418";"";"";"";"";"Setin III";"";"";"CRI"
"HabitaSec";"Longitude";"19K1145467";"BRHBSCCRI4K3";"Ativo";"CDI + 5% a.a.";"419";"";"";"";"";"Longitude";"";"";"CRI"
"HabitaSec";"Helbor VII";"19L0906036";"BRHBSCCRI4L1";"Ativo";"CDI + 1.5% a.a.";"421";"";"";"";"";"Helbor VII";"";"";"CRI"
"HabitaSec";"Colmeia";"20A1026890";"BRHBSCCRI4P2";"Ativo";"IPCA + 10% a.a.";"411";"";"";"";"";"Colmeia";"";"";"CRI"
"HabitaSec";"Nex";"20E1055012";"BRHBSCCRI4W8";"Ativo";"CDI + 5% a.a.";"441";"";"";"";"";"Nex";"";"";"CRI"
"HabitaSec";"Infinita Town";"20F0718722";"BRHBSCCRI4V0";"Ativo";"IPCA + 11% a.a.";"391";"";"";"";"";"Infinita Town";"";"";"CRI"
"HabitaSec";"Infinita Town";"20F0718024";"BRHBSCCRI4U2";"Ativo";"IPCA + 15.9% a.a.";"390";"";"";"";"";"Infinita Town";"";"";"CRI"
"HabitaSec";"Infinita Town";"20F0718010";"BRHBSCCRI4T4";"Ativo";"IPCA + 14% a.a.";"389";"";"";"";"";"Infinita Town";"";"";"CRI"
"HabitaSec";"Infinita Town";"20F0717398";"BRHBSCCRI4S6";"Ativo";"IPCA + 13% a.a.";"388";"";"";"";"";"Infinita Town";"";"";"CRI"
"HabitaSec";"MEL";"20I0573995";"BRHBSCCRI544";"Ativo";"IPCA + 5.9% a.a.";"226";"";"";"";"";"MEL";"";"";"CRI"
"HabitaSec";"Vitacon III";"20I0718827";"BRHBSCCRI593";"Ativo";"CDI + 6.5% a.a.";"400";"";"";"";"";"Vitacon III";"";"";"CRI"
"HabitaSec";"Vitacon III";"20I0718383";"BRHBSCCRI585";"Ativo";"CDI + 5.5% a.a.";"399";"";"";"";"";"Vitacon III";"";"";"CRI"
"HabitaSec";"Vitacon III";"20I0718026";"BRHBSCCRI577";"Ativo";"CDI + 4% a.a.";"398";"";"";"";"";"Vitacon III";"";"";"CRI"
"HabitaSec";"Vitacon IV";"20J0847216";"BRHBSCCRI5I4";"Ativo";"IPCA + 8.5% a.a.";"397";"";"";"";"";"Vitacon IV";"";"";"CRI"
"HabitaSec";"Vitacon IV";"20J0846991";"BRHBSCCRI5H6";"Ativo";"IPCA + 7.25% a.a.";"396";"";"";"";"";"Vitacon IV";"";"";"CRI"
"HabitaSec";"Vitacon IV";"20J0837296";"BRHBSCCRI5G8";"Ativo";"IPCA + 5.75% a.a.";"395";"";"";"";"";"Vitacon IV";"";"";"CRI"
"HabitaSec";"Infinita Parque II";"20K0797915";"BRHBSCCRI5L8";"Ativo";"IPCA + 14% a.a.";"408";"";"";"";"";"Infinita Parque II";"";"";"CRI"
"HabitaSec";"Bento Capitão &#8211; Nex Like";"20L0789249";"BRHBSCCRI5P9";"Ativo";"IPCA + 12.68% a.a.";"280";"";"";"";"";"Bento Capitão &#8211; Nex Like";"";"";"CRI"
"HabitaSec";"Bento Capitão &#8211; Nex Like";"20L0789248";"BRHBSCCRI5O2";"Ativo";"IPCA + 12.68% a.a.";"279";"";"";"";"";"Bento Capitão &#8211; Nex Like";"";"";"CRI"
"HabitaSec";"Infinita Life III";"21B0760585";"BRHBSCCRI619";"Ativo";"IPCA + 14% a.a.";"339";"";"";"";"";"Infinita Life III";"";"";"CRI"
"HabitaSec";"Infinita Life III";"21B0760584";"BRHBSCCRI601";"Ativo";"IPCA + 14% a.a.";"338";"";"";"";"";"Infinita Life III";"";"";"CRI"
"HabitaSec";"Infinita Life III";"21B0760582";"BRHBSCCRI5Z8";"Ativo";"IPCA + 14% a.a.";"337";"";"";"";"";"Infinita Life III";"";"";"CRI"
"HabitaSec";"Extrema";"21D0543868";"BRHBSCCRI6A9";"Ativo";"IPCA + 20% a.a.";"269";"";"";"";"";"Extrema";"";"";"CRI"
"HabitaSec";"Econ";"21F1036910";"BRHBSCCRI6O0";"Ativo";"CDI + 2.5% a.a.";"351";"";"";"";"";"Econ";"";"";"CRI"
"HabitaSec";"Vanguarda";"22A1127471";"BRHBSCCRI825";"Ativo";"IPCA + 12.6825% a.a.";"288";"";"";"";"";"Vanguarda";"";"";"CRI"
"HabitaSec";"Raum";"22B0468118";"BRHBSCCRI8D9";"Ativo";"IPCA + 13% a.a.";"250";"";"";"";"";"Raum";"";"";"CRI"
"HabitaSec";"Infinita Parque II";"22G1166026";"BRHBSCCRI9J4";"Ativo";"CDI + 7% a.a.";"430";"";"";"";"";"Infinita Parque II";"";"";"CRI"
"HabitaSec";"Infinita Town";"22J1411300";"BRHBSCCRI9O4";"Ativo";"CDI + 7.5% a.a.";"431";"";"";"";"";"Infinita Town";"";"";"CRI"
"HabitaSec";"Infinita Life III";"23B0432351";"BRHBSCCRI9Z0";"Ativo";"CDI + 7% a.a.";"340";"";"";"";"";"Infinita Life III";"";"";"CRI"
"HabitaSec";"Scopel III";"12J0017781";"&#8212;";"Ativo";"IPCA";"943";"";"";"";"";"Scopel III";"";"";"CRI"
"HabitaSec";"Scopel III";"12J0017777";"&#8212;";"Ativo";"IPCA";"942";"";"";"";"";"Scopel III";"";"";"CRI"
"HabitaSec";"Green Club";"13H0051110";"&#8212;";"Ativo";"IGP-M";"947";"";"";"";"";"Green Club";"";"";"CRI"
"HabitaSec";"Green Club";"13H0051104";"&#8212;";"Ativo";"IGP-M";"946";"";"";"";"";"Green Club";"";"";"CRI"
"HabitaSec";"Mamoré";"16F0242080";"&#8212;";"Ativo";"IGP-M";"952";"";"";"";"";"Mamoré";"";"";"CRI"
"HabitaSec";"Porto Quality";"16H0156564";"&#8212;";"Ativo";"IPCA + 10.5% a.a.";"944";"";"";"";"";"Porto Quality";"";"";"CRI"
"HabitaSec";"Summer";"16K2085767";"&#8212;";"Ativo";"IPCA + 10.5% a.a.";"945";"";"";"";"";"Summer";"";"";"CRI"
"HabitaSec";"Even II";"18C0765059";"&#8212;";"Ativo";"CDI + 0.03% a.a.";"948";"";"";"";"";"Even II";"";"";"CRI"
"HabitaSec";"Helbor V";"19A0625067";"&#8212;";"Ativo";"CDI";"949";"";"";"";"";"Helbor V";"";"";"CRI"
"HabitaSec";"Trisul II";"19C0337001";"&#8212;";"Ativo";"CDI";"950";"";"";"";"";"Trisul II";"";"";"CRI"
"HabitaSec";"CHB";"19D0515876";"&#8212;";"Ativo";"CDI";"953";"";"";"";"";"CHB";"";"";"CRI"
"HabitaSec";"Divolto III";"19D0671987";"&#8212;";"Ativo";"CDI";"954";"";"";"";"";"Divolto III";"";"";"CRI"
"HabitaSec";"Helbor VI";"19F0260959";"&#8212;";"Ativo";"CDI + 0.0215% a.a.";"951";"";"";"";"";"Helbor VI";"";"";"CRI"
"HabitaSec";"Praias II";"19H0293120";"&#8212;";"Ativo";"CDI";"955";"";"";"";"";"Praias II";"";"";"CRI"
"HabitaSec";"Rovic II";"19I0307536";"&#8212;";"Ativo";"CDI + 0.055% a.a.";"956";"";"";"";"";"Rovic II";"";"";"CRI"
"HabitaSec";"Praias III";"19J0231267";"&#8212;";"Ativo";"CDI + 0.06% a.a.";"957";"";"";"";"";"Praias III";"";"";"CRI"
"HabitaSec";"Embraed III &#8211; Iridium";"20I0000001";"&#8212;";"Ativo";"CDI + 0.065% a.a.";"959";"";"";"";"";"Embraed III &#8211; Iridium";"";"";"CRI"
"HabitaSec";"Embraed VBI";"20K0778773";"&#8212;";"Ativo";"IPCA + 7% a.a.";"958";"";"";"";"";"Embraed VBI";"";"";"CRI"
"HabitaSec";"Atlantico Bautico";"21E0823280";"&#8212;";"Ativo";"IPCA + 6.2% a.a.";"960";"";"";"";"";"Atlantico Bautico";"";"";"CRI"
"HabitaSec";"LBraga";"21H0889576";"&#8212;";"Ativo";"INCC-M + 11.5% a.a.";"965";"";"";"";"";"LBraga";"";"";"CRI"
"HabitaSec";"LBraga";"21H0889518";"&#8212;";"Ativo";"INCC-M + 11.5% a.a.";"964";"";"";"";"";"LBraga";"";"";"CRI"
"HabitaSec";"LBraga";"21H0889464";"&#8212;";"Ativo";"INCC-M + 11.5% a.a.";"963";"";"";"";"";"LBraga";"";"";"CRI"
"HabitaSec";"LBraga";"21H0889352";"&#8212;";"Ativo";"INCC-M + 11.5% a.a.";"962";"";"";"";"";"LBraga";"";"";"CRI"
"HabitaSec";"Pernambuco";"21H1031213";"&#8212;";"Ativo";"CDI + 0.0575% a.a.";"961";"";"";"";"";"Pernambuco";"";"";"CRI"
"HabitaSec";"Ditolvo VI";"21J0703978";"&#8212;";"Ativo";"CDI + 0.06% a.a.";"966";"";"";"";"";"Ditolvo VI";"";"";"CRI"
"HabitaSec";"Vokkan";"21K1073037";"&#8212;";"Ativo";"IPCA + 8% a.a.";"967";"";"";"";"";"Vokkan";"";"";"CRI"
"HabitaSec";"Fragnani";"21L1280777";"&#8212;";"Ativo";"IPCA + 8.5% a.a.";"968";"";"";"";"";"Fragnani";"";"";"CRI"
"HabitaSec";"Fragnani";"21L1280777";"&#8212;";"Ativo";"IPCA + 8.5% a.a.";"968";"";"";"";"";"Fragnani";"";"";"CRI"
"HabitaSec";"Ativos Residenciais Diversificados";"25K3255796";"BRHBSCCRIDF8";"Ativo";"CDI";"941";"";"";"";"";"Ativos Residenciais Diversificados";"";"";"CRI"
"HabitaSec";"Evoke";"26E0012601";"BRHBSCCRIDQ5";"Ativo";"CDI + 0.045% a.a.";"936";"";"";"";"";"Evoke";"";"";"CRI"
"HabitaSec";"Evoke";"26H0006201";"BRHBSCCRIDR3";"Ativo";"CDI + 0.045% a.a.";"937";"";"";"";"";"Evoke";"";"";"CRI"
"HabitaSec";"Evoke";"26K0007002";"BRHBSCCRIDS1";"Ativo";"CDI + 0.045% a.a.";"938";"";"";"";"";"Evoke";"";"";"CRI"
"HabitaSec";"Evoke";"27B0000801";"BRHBSCCRIDT9";"Ativo";"CDI + 0.045% a.a.";"939";"";"";"";"";"Evoke";"";"";"CRI"
"HabitaSec";"Evoke";"27E0000401";"BRHBSCCRIDU7";"Ativo";"CDI + 0.045% a.a.";"940";"";"";"";"";"Evoke";"";"";"CRI"
"HabitaSec";"CRA Minerva III";"CRA026001UT";"BRHBSCCRA0A0";"Ativo";"CDI + 1% a.a.";"913";"";"";"";"";"CRA Minerva III";"";"";"CRI"
"HabitaSec";"Econ V";"26D4571142";"BRHBSCCRIE98";"Ativo";"CDI + 1% a.a.";"911";"";"";"";"";"Econ V";"";"";"CRI"
"HabitaSec";"FGR";"26E2220723";"BRHBSCCRIEF6";"Ativo";"Não definido";"909";"";"";"";"";"FGR";"";"";"CRI"
"HabitaSec";"FGR";"26E2217761";"BRHBSCCRIEE9";"Ativo";"IPCA";"908";"";"";"";"";"FGR";"";"";"CRI"
"HabitaSec";"FGR";"26E2121948";"BRHBSCCRIED1";"Ativo";"IPCA";"907";"";"";"";"";"FGR";"";"";"CRI"
"HabitaSec";"FGR";"26E2121897";"BRHBSCCRIEC3";"Ativo";"IPCA";"905";"";"";"";"";"FGR";"";"";"CRI"
"HabitaSec";"FGR";"26E2096092";"BRHBSCCRIEB5";"Ativo";"IPCA + 10% a.a.";"904";"";"";"";"";"FGR";"";"";"CRI"
"HabitaSec";"Econ IV";"26D5393866";"BRHBSCCRIEA7";"Ativo";"CDI + 3.66% a.a.";"892";"";"";"";"";"Econ IV";"";"";"CRI"
"HabitaSec";"Econ IV";"BRHBSCCRIEA7";"26D5393866";"Ativo";"CDI + 3.66% a.a.";"892";"";"";"";"";"Econ IV";"";"";"CRI"
"HabitaSec";"Artis";"26D0303109";"BRHBSCCRIE80";"Ativo";"IPCA + 12.3% a.a.";"890";"";"";"";"";"Artis";"";"";"CRI"
"HabitaSec";"EBM Permuta Financeira";"24D3468496";"BRHBSCCRIBC9";"Ativo";"INCC-M + 8% a.a.";"503";"";"";"";"";"EBM Permuta Financeira";"";"";"CRI"
"HabitaSec";"Evoke";"26B0019801";"BRHBSCCRIDP7";"Ativo";"CDI + 4.5% a.a.";"888";"";"";"";"";"Evoke";"";"";"CRI"
"HabitaSec";"Cidade Verde";"26C2996517";"BRHBSCCRIE56";"Ativo";"IPCA + 18% a.a.";"880";"";"";"";"";"Cidade Verde";"";"";"CRI"
"HabitaSec";"Cidade Verde";"26C2971464";"BRHBSCCRIE64";"Ativo";"IPCA + 10.5% a.a.";"879";"";"";"";"";"Cidade Verde";"";"";"CRI"
"HabitaSec";"Trinity";"26C3661623";"BRHBSCCRIE49";"Ativo";"CDI";"885";"";"";"";"";"Trinity";"";"";"CRI"
"HabitaSec";"Trinity";"26C3631552";"BRHBSCCRIE31";"Ativo";"CDI + 3.25% a.a.";"881";"";"";"";"";"Trinity";"";"";"CRI"
"HabitaSec";"Crediblue Aquisição Residencial";"25K2622192";"BRHBSCCRID99";"Ativo";"IPCA + 9.5% a.a.";"613";"";"";"";"";"Crediblue Aquisição Residencial";"";"";"CRI"
"HabitaSec";"Basesul";"26A5175273";"BRHBSCCRIDW3";"Ativo";"IPCA + 9.3% a.a.";"887";"";"";"";"";"Basesul";"";"";"CRI"
"HabitaSec";"B&#038;B";"21H0720107";"BRHBSCCRI6Y9";"Ativo";"IPCA + 7.5% a.a.";"335";"";"";"";"";"B&#038;B";"";"";"CRI"
"HabitaSec";"Cidade Verde";"26C2996517";"BRHBSCCRIE64";"Ativo";"IPCA + 18% a.a.";"879";"";"";"";"";"Cidade Verde";"";"";"CRI"
"HabitaSec";"Tatinha";"26C4273912";"&#8212;";"Ativo";"IPCA + 12% a.a.";"875";"";"";"";"";"Tatinha";"";"";"CRI"
"HabitaSec";"SCOPEL O.A";"11C0035926";"&#8212;";"Ativo";"IPCA + 9.5% a.a.";"462";"";"";"";"";"SCOPEL O.A";"";"";"CRI"
"HabitaSec";"Scopel";"12F0028554";"BRHBSCCRI098";"Ativo";"IPCA + 16.4515% a.a.";"223";"";"";"";"";"Scopel";"";"";"CRI"
"HabitaSec";"Scopel";"12F0028545";"BRHBSCCRI080";"Ativo";"IPCA + 12% a.a.";"222";"";"";"";"";"Scopel";"";"";"CRI"
"HabitaSec";"Embraed";"19L0907825";"BRHBSCCRI4O5";"Ativo";"CDI + 3.5% a.a.";"234";"";"";"";"";"Embraed";"";"";"CRI"
"HabitaSec";"Embraed";"19L0906443";"BRHBSCCRI4N7";"Ativo";"CDI + 3.5% a.a.";"243";"";"";"";"";"Embraed";"";"";"CRI"
"HabitaSec";"VIC II";"20H0838579";"BRHBSCCRI536";"Ativo";"CDI + 7% a.a.";"266";"";"";"";"";"VIC II";"";"";"CRI"
"HabitaSec";"Guarapuava";"21B0591517";"BRHBSCCRI5W5";"Ativo";"IPCA + 8.5% a.a.";"256";"";"";"";"";"Guarapuava";"";"";"CRI"
"HabitaSec";"Guarapuava";"21B0591458";"BRHBSCCRI5U9";"Ativo";"IPCA + 8.5% a.a.";"254";"";"";"";"";"Guarapuava";"";"";"CRI"
"HabitaSec";"Pernambuco II";"21H1031323";"BRHBSCCRI783";"Ativo";"CDI + 5.75% a.a.";"262";"";"";"";"";"Pernambuco II";"";"";"CRI"
"HabitaSec";"Viver Fama";"21I0940474";"BRHBSCCRI7E9";"Ativo";"IPCA + 12.6825% a.a.";"360";"";"";"";"";"Viver Fama";"";"";"CRI"
"HabitaSec";"Viver Fama";"21I0940473";"BRHBSCCRI7D1";"Ativo";"IPCA + 12.6825% a.a.";"359";"";"";"";"";"Viver Fama";"";"";"CRI"
"HabitaSec";"Helbor XI";"23F1689784";"BRHBSCCRIA76";"Ativo";"CDI + 3% a.a.";"230";"";"";"";"";"Helbor XI";"";"";"CRI"
"HabitaSec";"Realiza IV";"24A2786450";"BRHBSCCRIAT5";"Ativo";"CDI + 6% a.a.";"480";"";"";"";"";"Realiza IV";"";"";"CRI"
"HabitaSec";"QSJRN";"25K3783044";"BRHBSCCRIDN2";"Ativo";"CDI + 12.49% a.a.";"625";"";"";"";"";"QSJRN";"";"";"CRI"
"HabitaSec";"Evoke";"25L3391401";"BRHBSCCRIDO0";"Ativo";"CDI + 4.5% a.a.";"626";"";"";"";"";"Evoke";"";"";"CRI"
"HabitaSec";"OR Loteamentos";"25L3861195";"BRHBSCCRIDV5";"Ativo";"IPCA + 12.5% a.a.";"624";"";"";"";"";"OR Loteamentos";"";"";"CRI"
"HabitaSec";"CRA Minerva";"CRA02500B9O";"BRHBSCCRA087";"Ativo";"Não definido + 14.89% a.a.";"630";"";"";"";"";"CRA Minerva";"";"";"CRI"
"HabitaSec";"CRA Minerva";"CRA02500B9N";"BRHBSCCRA079";"Ativo";"CDI + 1.0827% a.a.";"629";"";"";"";"";"CRA Minerva";"";"";"CRI"
"HabitaSec";"CRA Minerva";"CRA02500B9M";"BRHBSCCRA061";"Ativo";"CDI + 1% a.a.";"628";"";"";"";"";"CRA Minerva";"";"";"CRI"
"HabitaSec";"CRA Minerva II";"CRA0260005Q";"BRHBSCCRA095";"Ativo";"CDI + 1% a.a.";"631";"";"";"";"";"CRA Minerva II";"";"";"CRI"
"HabitaSec";"Ares das Brás";"26B2938203";"BRHBSCCRIE23";"Ativo";"IPCA";"636";"";"";"";"";"Ares das Brás";"";"";"CRI"
"HabitaSec";"Ares das Brás";"26B2931914";"BRHBSCCRIE15";"Ativo";"IPCA";"635";"";"";"";"";"Ares das Brás";"";"";"CRI"
"HabitaSec";"Ares das Brás";"26B2853042";"BRHBSCCRIE07";"Ativo";"IPCA";"634";"";"";"";"";"Ares das Brás";"";"";"CRI"
"HabitaSec";"Ares das Brás";"26B2850203";"BRHBSCCRIDZ6";"Ativo";"IPCA";"633";"";"";"";"";"Ares das Brás";"";"";"CRI"
"HabitaSec";"Ares das Brás";"26B2841429";"BRHBSCCRIDY9";"Ativo";"IPCA + 13% a.a.";"632";"";"";"";"";"Ares das Brás";"";"";"CRI"
"HabitaSec";"Raum";"22B0468118";"BRHBSCCRI8D9";"Ativo";"IPCA + 13% a.a.";"224";"";"";"";"";"Raum";"";"";"CRI"
"HabitaSec";"Partage";"15K0641039";"BRHBSCCRI1E2";"Ativo";"CDI + 2% a.a.";"514";"";"";"";"";"Partage";"";"";"CRI"
"HabitaSec";"Participa";"18K1252620";"BRHBSCCRI2T8";"Ativo";"CDI + 1.35% a.a.";"503";"";"";"";"";"Participa";"";"";"CRI"
"HabitaSec";"Participa";"18K1252555";"BRHBSCCRI2S0";"Ativo";"IPCA + 9.75% a.a.";"502";"";"";"";"";"Participa";"";"";"CRI"
"HabitaSec";"Setin II";"19E0281174";"BRHBSCCRI3B4";"Ativo";"CDI + 4% a.a.";"489";"";"";"";"";"Setin II";"";"";"CRI"
"HabitaSec";"Partage II";"19G0312147";"BRHBSCCRI3G3";"Ativo";"IPCA + 5.41% a.a.";"447";"";"";"";"";"Partage II";"";"";"CRI"
"HabitaSec";"Setin III";"19I0307144";"BRHBSCCRI3Q2";"Ativo";"CDI + 4.25% a.a.";"451";"";"";"";"";"Setin III";"";"";"CRI"
"HabitaSec";"Embraed II";"20F0870073";"BRHBSCCRI4Y4";"Ativo";"CDI + 5.5% a.a.";"477";"";"";"";"";"Embraed II";"";"";"CRI"
"HabitaSec";"Participa II";"20I0719882";"BRHBSCCRI5F0";"Ativo";"IPCA + 7.35% a.a.";"418";"";"";"";"";"Participa II";"";"";"CRI"
"HabitaSec";"Participa II";"20I0719744";"BRHBSCCRI5E3";"Ativo";"IPCA + 5.35% a.a.";"417";"";"";"";"";"Participa II";"";"";"CRI"
"HabitaSec";"Participa II";"20I0719702";"BRHBSCCRI5D5";"Ativo";"CDI + 2.8% a.a.";"416";"";"";"";"";"Participa II";"";"";"CRI"
"HabitaSec";"Shopping-Alegria";"21B0716603";"BRHBSCCRI5X3";"Ativo";"IPCA + 12.6825% a.a.";"351";"";"";"";"";"Shopping-Alegria";"";"";"CRI"
"HabitaSec";"Infinita Life III";"21B0760585";"BRHBSCCRI619";"Ativo";"IPCA + 14% a.a.";"348";"";"";"";"";"Infinita Life III";"";"";"CRI"
"HabitaSec";"Infinita Life III";"21B0760584";"BRHBSCCRI601";"Ativo";"IPCA + 14% a.a.";"347";"";"";"";"";"Infinita Life III";"";"";"CRI"
"HabitaSec";"Infinita Life III";"21B0760582";"BRHBSCCRI5Z8";"Ativo";"IPCA + 14% a.a.";"346";"";"";"";"";"Infinita Life III";"";"";"CRI"
"HabitaSec";"Andali";"21C0730879";"BRHBSCCRI650";"Ativo";"IPCA + 6.75% a.a.";"350";"";"";"";"";"Andali";"";"";"CRI"
"HabitaSec";"Embraed Rec";"21D0779954";"BRHBSCCRI6L6";"Ativo";"IPCA + 7% a.a.";"356";"";"";"";"";"Embraed Rec";"";"";"CRI"
"HabitaSec";"Cataguases";"21G0090798";"BRHBSCCRI6P7";"Ativo";"CDI + 6.5% a.a.";"199";"";"";"";"";"Cataguases";"";"";"CRI"
"HabitaSec";"Extrema Via Varejo";"21G0864354";"BRHBSCCRI6X1";"Ativo";"IPCA + 6.5% a.a.";"358";"";"";"";"";"Extrema Via Varejo";"";"";"CRI"
"HabitaSec";"Viver Fama";"21I0940472";"BRHBSCCRI7C3";"Ativo";"IPCA + 12.6825% a.a.";"358";"";"";"";"";"Viver Fama";"";"";"CRI"
"HabitaSec";"Viver Fama";"21I0566608";"BRHBSCCRI7B5";"Ativo";"IPCA + 12.6825% a.a.";"357";"";"";"";"";"Viver Fama";"";"";"CRI"
"HabitaSec";"Extrema Via Varejo II";"21J0585266";"BRHBSCCRI4A4";"Ativo";"IPCA + 6.5% a.a.";"386";"";"";"";"";"Extrema Via Varejo II";"";"";"CRI"
"HabitaSec";"JSL";"21K0728271";"BRHBSCCRI411";"Ativo";"IPCA + 6.5% a.a.";"388";"";"";"";"";"JSL";"";"";"CRI"
"HabitaSec";"Vanguarda";"22A1127471";"BRHBSCCRI825";"Ativo";"IPCA + 12.6825% a.a.";"282";"";"";"";"";"Vanguarda";"";"";"CRI"
"HabitaSec";"Frio Peças";"22B0582974";"BRHBSCCRI8C1";"Ativo";"IPCA + 7% a.a.";"201";"";"";"";"";"Frio Peças";"";"";"CRI"
"HabitaSec";"Extrema Pulverizado";"22F1296971";"BRHBSCCRI916";"Ativo";"IPCA + 7% a.a.";"173";"";"";"";"";"Extrema Pulverizado";"";"";"CRI"
"HabitaSec";"Extrema Pulverizado II";"22H0194042";"BRHBSCCRI924";"Ativo";"IPCA + 7% a.a.";"248";"";"";"";"";"Extrema Pulverizado II";"";"";"CRI"
"HabitaSec";"Extrema Pulverizada III";"22K0024321";"BRHBSCCRI9N6";"Ativo";"IPCA + 7% a.a.";"283";"";"";"";"";"Extrema Pulverizada III";"";"";"CRI"
"HabitaSec";"Extrema Pulverizado IV";"22L1464124";"BRHBSCCRI9Y3";"Ativo";"IPCA + 7% a.a.";"195";"";"";"";"";"Extrema Pulverizado IV";"";"";"CRI"
"HabitaSec";"Infinita Life III";"23B0432351";"BRHBSCCRI9Z0";"Ativo";"CDI + 7% a.a.";"349";"";"";"";"";"Infinita Life III";"";"";"CRI"
"HabitaSec";"Helbor X";"23D1860605";"BRHBSCCRIA43";"Ativo";"CDI + 2.25% a.a.";"191";"";"";"";"";"Helbor X";"";"";"CRI"
"HabitaSec";"Arquiplan";"24E1885543";"BRHBSCCRIBH8";"Ativo";"CDI + 4.5% a.a.";"568";"";"";"";"";"Arquiplan";"";"";"CRI"
"HabitaSec";"CRA Minerva";"CRA02500B9L";"BRHBSCCRA053";"Ativo";"CDI + 0.8% a.a.";"627";"";"";"";"";"CRA Minerva";"";"";"CRI"
"HabitaSec";"Montrecom Trend Vila Madalena";"26B0018801";"BRHBSCCRIDM4";"Ativo";"IPCA + 10.9% a.a.";"620";"";"";"";"";"Montrecom Trend Vila Madalena";"";"";"CRI"
